Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jerome Robinson,SG,22,LAC,42,476,4.8,.423,.493,.140,1.1,11.7,6.5,12.6,1.3,1.5,15.3,15.0,-0.6,0.6,0.0,-0.004,-5.3,0.6,-4.7,-0.3
Jerome Robinson,SG,22,WAS,21,503,9.8,.516,.494,.218,1.7,13.8,7.5,11.3,1.4,1.6,10.8,17.7,0.0,0.2,0.2,.022,-2.2,-0.9,-3.2,-0.1
Justin Robinson,PG,22,WAS,9,49,8.2,.542,.417,.000,2.1,9.3,5.6,18.8,0.0,1.8,20.0,12.7,0.0,0.0,0.0,.007,-2.6,-3.1,-5.7,0.0
Mitchell Robinson,C,21,NYK,61,1412,23.5,.726,.000,.434,13.7,18.8,16.2,3.9,1.8,8.0,8.3,13.3,4.8,2.0,6.8,.230,1.6,1.4,2.9,1.8
Isaiah Roby,SF,21,OKC,3,11,-7.7,.000,.000,.000,0.0,19.5,10.0,0.0,0.0,0.0,50.0,8.0,-0.1,0.0,0.0,-0.188,-12.1,-3.4,-15.5,0.0
Rajon Rondo,PG,33,LAL,48,984,12.4,.494,.381,.125,2.6,13.1,7.9,32.9,1.9,0.2,20.8,18.7,0.1,1.3,1.4,.068,-1.2,-0.1,-1.3,0.2
Derrick Rose,PG,31,DET,50,1298,21.0,.555,.195,.185,2.3,8.3,5.3,40.5,1.5,1.0,13.4,31.6,1.8,0.7,2.5,.092,3.9,-1.7,2.2,1.4
Terrence Ross,SG,28,ORL,69,1889,14.0,.548,.596,.217,0.7,12.3,6.3,6.8,2.0,1.1,7.0,22.8,1.1,2.0,3.0,.077,-0.1,-0.3,-0.4,0.8
Terry Rozier,PG,25,CHO,63,2164,14.8,.553,.450,.202,2.4,11.8,7.0,20.4,1.4,0.4,12.1,23.7,1.9,1.1,3.0,.066,0.8,-1.2,-0.4,0.8
Ricky Rubio,PG,29,PHO,65,2016,16.5,.535,.312,.327,2.5,14.4,8.4,39.7,2.2,0.5,17.9,20.4,2.9,2.0,4.9,.117,0.7,0.2,1.0,1.5
D'Angelo Russell,PG,23,TOT,45,1452,18.7,.556,.509,.235,1.2,12.3,6.6,35.2,1.6,0.8,13.6,31.5,1.1,0.7,1.8,.060,3.8,-1.9,1.9,1.4
D'Angelo Russell,PG,23,GSW,33,1060,19.1,.558,.506,.227,1.4,11.4,6.2,36.0,1.4,0.8,12.6,32.2,0.9,0.4,1.3,.058,4.5,-1.9,2.6,1.2
D'Angelo Russell,PG,23,MIN,12,392,17.6,.553,.521,.261,0.8,14.5,7.4,33.1,2.0,0.8,16.4,29.5,0.2,0.3,0.5,.064,1.8,-1.7,0.1,0.2
Domantas Sabonis,PF,23,IND,62,2159,20.7,.586,.079,.349,9.7,29.3,19.6,21.7,1.1,1.2,14.8,23.3,4.1,3.4,7.5,.168,2.0,1.2,3.2,2.9
Luka Å amaniÄ‡,PF,20,SAS,3,48,8.8,.450,.500,.250,2.2,20.2,11.2,16.3,0.0,3.7,10.1,17.8,0.0,0.0,0.0,.011,-2.4,-1.7,-4.1,0.0
JaKarr Sampson,SF,26,IND,34,471,12.6,.615,.113,.235,4.7,15.7,10.2,6.1,1.6,2.2,10.6,13.2,0.6,0.7,1.2,.124,-2.8,1.4,-1.4,0.1
Dario Å ariÄ‡,PF,25,PHO,66,1632,14.2,.592,.437,.238,6.7,21.1,13.8,10.8,1.1,0.9,12.9,17.8,2.1,1.5,3.6,.105,-0.1,-0.3,-0.4,0.7
TomÃ¡Å¡ SatoranskÃ½,PG,28,CHI,65,1878,13.5,.533,.361,.220,4.3,11.0,7.5,27.1,2.1,0.4,17.7,16.7,1.8,1.7,3.5,.090,-1.1,-0.2,-1.3,0.3
Admiral Schofield,SF,22,WAS,33,368,6.1,.502,.663,.163,2.0,12.4,7.0,5.3,1.0,0.9,6.6,11.9,0.1,0.1,0.1,.017,-4.3,-1.2,-5.5,-0.3
Dennis SchrÃ¶der,PG,26,OKC,65,1999,16.7,.575,.337,.245,1.1,11.6,6.5,21.9,1.1,0.6,13.4,27.2,1.9,1.8,3.6,.087,1.1,-1.1,0.0,1.0
Mike Scott,PF,31,PHI,68,1207,11.2,.557,.620,.106,5.9,16.8,11.3,6.4,0.8,0.4,6.6,14.0,1.4,1.1,2.5,.100,-0.7,-1.1,-1.8,0.1
Thabo Sefolosha,PF,35,HOU,41,436,9.4,.487,.593,.088,5.0,17.5,11.2,7.5,2.5,2.4,13.7,10.4,0.0,0.6,0.7,.072,-2.9,1.6,-1.2,0.1
Collin Sexton,SG,21,CLE,65,2143,16.3,.560,.235,.246,3.1,7.5,5.3,15.1,1.5,0.3,11.6,27.2,2.1,0.4,2.5,.057,0.3,-2.1,-1.8,0.1
Landry Shamet,SG,22,LAC,53,1452,8.5,.580,.757,.194,0.4,6.6,3.6,9.1,0.7,0.6,9.0,13.4,1.5,1.1,2.6,.086,-1.8,-0.3,-2.1,0.0
Marial Shayok,SG,24,PHI,4,28,1.4,.400,.500,.333,3.9,23.7,13.8,4.8,0.0,3.0,17.9,25.8,-0.1,0.0,-0.1,-0.130,-9.3,-3.7,-13.0,-0.1
Iman Shumpert,SG,29,BRK,13,241,5.3,.403,.516,.109,3.9,10.5,7.3,6.7,2.4,0.7,13.0,13.4,-0.3,0.3,0.0,-0.005,-6.3,0.8,-5.5,-0.2
Pascal Siakam,PF,25,TOR,60,2110,17.9,.554,.331,.274,3.3,18.3,11.0,16.4,1.4,2.5,10.7,28.1,1.8,3.6,5.4,.123,1.3,0.5,1.8,2.0
Chris Silva,PF,23,MIA,44,346,17.3,.651,.038,.705,20.2,20.6,20.4,9.9,1.3,6.0,23.8,17.1,0.7,0.5,1.3,.178,-3.1,0.8,-2.3,0.0
Ben Simmons,PG,23,PHI,57,2017,20.4,.602,.011,.461,6.2,18.2,12.2,33.8,2.9,1.4,20.4,20.9,3.8,3.1,6.9,.165,1.3,2.3,3.6,2.8
Anfernee Simons,SG,20,POR,70,1449,9.0,.502,.422,.172,1.8,9.1,5.5,9.2,0.9,0.6,9.6,18.7,0.0,0.1,0.2,.005,-2.6,-1.9,-4.5,-0.9
Alen SmailagiÄ‡,PF,19,GSW,14,139,14.5,.610,.325,.475,7.5,13.7,10.5,14.3,1.0,2.6,18.5,18.2,0.2,0.1,0.2,.081,-1.4,-0.8,-2.2,0.0
Marcus Smart,SG,25,BOS,60,1919,13.8,.518,.579,.223,2.4,10.1,6.3,21.1,2.5,1.4,12.1,18.9,1.7,2.8,4.5,.112,0.0,1.4,1.4,1.6
Dennis Smith Jr.,PG,22,NYK,34,537,7.4,.399,.256,.251,4.1,11.7,7.7,26.4,2.5,1.4,19.8,23.1,-1.4,0.5,-0.9,-0.079,-5.2,-0.9,-6.1,-0.6
Ish Smith,PG,31,WAS,68,1787,13.9,.509,.245,.125,1.8,12.0,6.7,27.1,1.5,1.5,11.6,19.1,1.3,0.6,1.9,.051,-0.3,-1.0,-1.3,0.3
J.R. Smith,SG,34,LAL,6,79,0.0,.372,.500,.091,0.0,6.9,3.5,4.8,0.6,0.0,14.9,14.3,-0.2,0.1,-0.1,-0.077,-7.8,-2.0,-9.8,-0.2
Zhaire Smith,SG,20,PHI,7,32,1.1,.313,.273,.364,0.0,6.9,3.5,8.2,4.5,0.0,13.6,19.9,-0.1,0.1,-0.1,-0.120,-10.8,0.8,-10.0,-0.1
Tony Snell,SF,28,DET,59,1641,9.7,.598,.665,.084,0.6,7.1,3.8,10.9,1.0,0.8,7.3,11.4,2.1,0.5,2.6,.076,-1.2,-0.6,-1.8,0.1
Omari Spellman,PF,22,GSW,49,886,14.4,.551,.373,.312,9.1,18.0,13.4,8.1,1.8,2.4,13.9,18.8,0.5,0.7,1.2,.066,-0.8,-1.0,-1.7,0.1
Max Strus,SG,23,CHI,2,6,30.7,.727,.333,.333,17.5,0.0,9.2,0.0,0.0,0.0,0.0,24.4,0.0,0.0,0.0,.316,5.3,-1.0,4.4,0.0
Edmond Sumner,PG,24,IND,31,447,10.1,.491,.373,.204,2.7,8.5,5.6,16.7,1.6,1.8,12.4,17.3,-0.1,0.5,0.4,.047,-3.2,0.2,-3.0,-0.1
Caleb Swanigan,PF,22,TOT,27,288,7.6,.597,.043,.362,9.9,26.4,18.3,13.9,0.5,2.2,40.4,13.5,-0.2,0.2,0.0,.004,-6.2,0.2,-6.0,-0.3
Caleb Swanigan,PF,22,SAC,7,23,-0.1,.512,.000,.500,9.6,25.1,17.1,11.5,2.1,8.3,55.1,20.5,-0.1,0.0,-0.1,-0.177,-14.6,3.3,-11.3,-0.1
Caleb Swanigan,PF,22,POR,20,265,8.2,.605,.047,.349,10.0,26.5,18.3,14.1,0.4,1.6,38.5,12.9,-0.1,0.2,0.1,.020,-5.5,-0.1,-5.6,-0.2
Jayson Tatum,PF,21,BOS,66,2265,20.4,.567,.383,.255,3.1,18.5,10.9,14.5,2.0,2.3,10.2,28.6,3.2,3.7,6.9,.146,3.5,0.6,4.0,3.4
Jeff Teague,PG,31,TOT,59,1464,14.6,.557,.239,.403,1.9,8.6,5.2,30.7,1.4,1.1,16.8,19.5,1.9,0.6,2.5,.082,-0.2,-1.3,-1.5,0.2
Jeff Teague,PG,31,MIN,34,945,15.9,.578,.269,.444,1.6,8.5,4.9,32.5,1.2,1.1,16.4,20.2,1.7,0.4,2.1,.108,0.6,-1.2,-0.6,0.3
Jeff Teague,PG,31,ATL,25,519,12.2,.512,.182,.321,2.5,8.8,5.6,27.3,1.7,1.0,17.5,18.3,0.2,0.2,0.4,.035,-1.6,-1.5,-3.1,-0.2
Garrett Temple,SG,33,BRK,62,1730,10.5,.513,.658,.148,1.8,11.1,6.5,12.8,1.3,1.4,9.0,16.6,0.7,1.7,2.4,.066,-1.4,0.3,-1.1,0.4
Daniel Theis,C,27,BOS,65,1566,17.9,.631,.225,.268,9.7,19.3,14.6,10.1,1.1,5.0,10.2,14.4,4.0,2.6,6.5,.201,0.6,1.8,2.4,1.7
Isaiah Thomas,PG,30,WAS,40,925,11.6,.531,.444,.178,1.2,7.0,4.0,23.4,0.7,0.6,14.4,24.1,0.1,-0.1,0.0,.002,-0.5,-3.9,-4.3,-0.5
Khyri Thomas,SG,23,DET,8,61,3.1,.453,.824,.235,1.8,0.0,0.9,6.7,2.4,0.0,13.8,15.6,-0.1,0.0,0.0,-0.038,-6.2,-1.7,-7.9,-0.1
Lance Thomas,SF,31,BRK,7,98,3.0,.485,.565,.174,2.2,11.4,6.9,8.2,0.0,0.0,19.5,13.1,-0.1,0.1,0.0,-0.015,-5.7,-2.6,-8.3,-0.2
Matt Thomas,SG,25,TOR,41,440,13.3,.650,.660,.080,2.2,12.2,7.3,7.5,1.1,0.2,9.3,16.6,0.7,0.6,1.2,.133,1.0,0.1,1.1,0.3
Tristan Thompson,C,28,CLE,57,1721,16.8,.540,.041,.286,14.5,22.9,18.6,10.5,0.9,2.5,14.0,18.3,2.0,1.1,3.1,.085,-0.3,-1.3,-1.5,0.2
Sindarius Thornwell,SG,25,NOP,2,35,14.7,.627,.364,.364,0.0,12.2,6.1,16.1,1.3,2.4,13.6,17.3,0.0,0.0,0.1,.101,-0.1,-1.2,-1.3,0.0
Matisse Thybulle,SG,22,PHI,65,1287,10.0,.539,.592,.155,3.8,5.4,4.6,8.0,3.5,3.1,15.3,11.2,0.3,2.0,2.3,.086,-2.8,3.1,0.3,0.8
Anthony Tolliver,PF,34,TOT,55,872,7.0,.513,.797,.159,4.1,14.3,9.3,6.0,1.0,1.1,14.9,11.1,0.0,0.4,0.5,.026,-2.7,-0.5,-3.2,-0.3
Anthony Tolliver,PF,34,POR,33,554,7.5,.515,.761,.162,5.2,15.5,10.4,6.6,0.7,1.4,14.3,11.2,0.2,0.2,0.4,.031,-2.3,-0.9,-3.3,-0.2
Anthony Tolliver,PF,34,SAC,9,82,0.2,.252,.882,.118,2.7,12.7,7.6,4.5,2.4,1.2,18.3,11.6,-0.2,0.1,-0.2,-0.100,-7.8,-1.0,-8.8,-0.1
Anthony Tolliver,PF,34,MEM,13,236,8.0,.602,.854,.167,2.3,12.3,7.4,5.3,1.4,0.4,14.9,10.7,0.1,0.2,0.3,.061,-1.7,0.6,-1.2,0.0
Juan Toscano-Anderson,SF,26,GSW,13,272,9.4,.529,.365,.079,3.5,17.8,10.4,13.8,2.3,1.7,19.7,12.7,-0.1,0.2,0.2,.030,-4.0,0.5,-3.5,-0.1
Karl-Anthony Towns,C,24,MIN,35,1187,26.5,.642,.445,.363,8.1,26.1,16.8,22.8,1.3,2.9,13.2,28.8,3.7,1.3,5.1,.204,7.0,0.8,7.8,2.9
Gary Trent Jr.,SG,21,POR,61,1332,12.9,.587,.608,.102,2.0,5.8,3.9,6.3,1.7,1.0,4.4,15.3,2.2,0.3,2.5,.089,0.5,-0.8,-0.3,0.6
Allonzo Trier,PG,24,NYK,24,291,14.5,.620,.500,.406,2.1,8.7,5.3,14.8,0.5,1.3,15.0,21.4,0.5,0.1,0.5,.087,0.9,-1.4,-0.5,0.1
P.J. Tucker,PF,34,HOU,72,2467,8.3,.559,.702,.113,4.7,15.6,10.1,6.0,1.4,1.2,13.9,8.7,1.6,2.4,4.0,.078,-2.4,0.6,-1.9,0.1
Rayjon Tucker,SG,22,UTA,20,161,9.7,.584,.395,.535,2.1,11.2,6.8,4.4,0.3,0.5,13.1,16.6,0.1,0.1,0.2,.063,-3.8,-2.2,-6.0,-0.2
Evan Turner,PG,31,ATL,19,251,6.8,.424,.075,.209,3.4,13.0,8.2,20.6,1.7,2.7,26.2,16.4,-0.5,0.1,-0.3,-0.064,-4.9,-0.7,-5.6,-0.2
Myles Turner,C,23,IND,62,1826,14.8,.566,.426,.288,5.2,19.1,12.2,5.4,1.2,6.4,11.4,17.9,1.1,3.1,4.2,.111,-1.0,1.1,0.1,1.0
Jarrod Uthoff,SF,26,TOT,7,53,8.8,.503,.500,.111,4.0,8.6,6.1,0.0,0.9,0.0,0.0,14.8,0.0,0.0,0.0,.018,-2.3,-2.2,-4.5,0.0
Jarrod Uthoff,SF,26,MEM,4,14,-0.1,.254,.571,.286,7.7,0.0,3.8,0.0,3.3,0.0,0.0,23.4,-0.1,0.0,0.0,-0.166,-11.1,-2.4,-13.5,0.0
Jarrod Uthoff,SF,26,WAS,3,39,12.0,.682,.455,.000,2.7,11.7,7.0,0.0,0.0,0.0,0.0,11.7,0.1,0.0,0.1,.083,0.8,-2.1,-1.2,0.0
Jonas ValanÄiÅ«nas,C,27,MEM,70,1845,22.2,.631,.123,.271,12.4,32.2,22.5,10.9,0.8,3.6,13.3,21.5,4.2,2.8,7.0,.182,2.1,0.2,2.4,2.0
Denzel Valentine,SF,26,CHI,36,488,13.0,.511,.578,.034,1.9,15.5,8.4,14.2,2.6,1.2,9.8,23.3,-0.1,0.6,0.5,.048,-0.8,0.2,-0.6,0.2
Jarred Vanderbilt,SF-PF,20,TOT,11,46,7.6,.676,.125,.250,7.3,14.5,10.9,5.9,3.2,2.0,44.1,14.9,-0.1,0.1,0.0,-0.026,-6.6,0.5,-6.0,-0.1
Jarred Vanderbilt,SF,20,DEN,9,41,7.2,.714,.000,.000,8.2,13.6,10.9,6.6,3.6,2.3,50.0,14.8,-0.1,0.1,0.0,-0.042,-7.0,0.9,-6.1,0.0
Jarred Vanderbilt,PF,20,MIN,2,5,11.1,.532,1.000,2.000,0.0,21.9,10.6,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,.104,-2.8,-2.8,-5.6,0.0
Fred VanVleet,PG,25,TOR,54,1928,16.3,.553,.484,.256,1.0,9.9,5.6,27.7,2.5,0.9,12.3,21.7,2.8,3.1,5.8,.145,1.2,1.4,2.7,2.3
Gabe Vincent,PG,23,MIA,9,83,1.2,.297,.730,.000,0.0,6.5,3.4,10.1,2.9,0.0,2.6,20.2,-0.3,0.1,-0.2,-0.117,-8.5,-1.9,-10.4,-0.2
Noah Vonleh,C-PF,24,TOT,36,377,15.5,.622,.163,.348,10.1,25.3,17.4,10.7,1.4,1.3,16.5,13.9,0.6,0.4,1.0,.127,-1.2,0.3,-1.0,0.1
Noah Vonleh,C,24,MIN,29,347,15.3,.605,.163,.326,10.0,25.9,17.6,10.8,1.5,1.4,16.2,13.9,0.5,0.4,0.9,.124,-1.5,0.4,-1.0,0.1
Noah Vonleh,PF,24,DEN,7,30,17.6,.838,.167,.667,11.2,18.6,14.9,9.5,0.0,0.0,20.5,14.1,0.1,0.0,0.1,.166,1.3,-1.9,-0.6,0.0
Nikola VuÄeviÄ‡,C,29,ORL,62,1998,21.9,.549,.280,.162,7.3,29.7,18.1,19.5,1.3,2.1,7.4,25.8,3.5,2.9,6.4,.153,3.7,0.5,4.2,3.1
Dean Wade,PF,23,CLE,12,71,13.9,.744,.308,.077,4.6,25.3,14.9,4.0,1.4,4.8,18.2,9.9,0.1,0.1,0.2,.105,-1.7,0.5,-1.2,0.0
Moritz Wagner,C,22,WAS,45,835,15.1,.638,.301,.357,7.0,22.2,14.3,9.8,1.6,2.0,17.7,18.6,1.1,0.6,1.7,.099,-2.0,-0.3,-2.3,-0.1
Dion Waiters,SG,28,TOT,10,207,11.5,.521,.475,.172,1.1,11.5,6.4,14.4,0.9,2.7,13.1,25.2,-0.1,0.2,0.1,.030,-0.7,-0.6,-1.2,0.0
Dion Waiters,SG,28,MIA,3,42,13.4,.530,.654,.038,0.0,28.2,14.7,12.5,0.0,4.7,10.2,30.9,-0.1,0.1,0.0,-0.003,2.4,-0.5,1.8,0.0
Dion Waiters,SG,28,LAL,7,165,11.0,.518,.411,.219,1.3,7.2,4.3,14.9,1.2,2.2,14.0,23.8,-0.1,0.2,0.1,.038,-1.4,-0.6,-2.0,0.0
Kemba Walker,PG,29,BOS,56,1742,20.0,.575,.532,.272,2.2,11.0,6.7,24.2,1.3,1.5,10.5,27.2,3.9,2.0,5.9,.162,4.9,-0.3,4.6,2.9
Lonnie Walker,SG,21,SAS,61,988,10.5,.507,.283,.171,2.5,12.7,7.6,9.6,1.5,1.2,10.3,18.7,-0.2,0.6,0.3,.016,-2.5,-1.0,-3.5,-0.4
Tyrone Wallace,SG,25,ATL,14,160,3.9,.389,.341,.386,2.0,13.0,7.4,10.9,2.0,0.5,16.3,16.0,-0.3,0.1,-0.2,-0.075,-7.7,-1.0,-8.7,-0.3
Taurean Prince,SF,25,BRK,64,1857,9.1,.497,.583,.120,2.8,18.1,10.6,9.2,1.5,1.1,14.0,20.4,-1.7,2.3,0.6,.014,-2.8,-0.1,-2.9,-0.4
Derrick Walton,PG,24,TOT,26,248,8.7,.617,.615,.231,0.9,5.8,3.4,13.9,1.4,0.0,10.4,8.1,0.4,0.2,0.6,.111,-2.2,1.3,-1.0,0.1
Derrick Walton,PG,24,LAC,23,222,8.4,.626,.583,.250,1.0,5.9,3.5,12.6,0.9,0.0,9.1,8.3,0.4,0.2,0.5,.112,-2.2,0.9,-1.3,0.0
Derrick Walton,PG,24,DET,3,26,11.3,.500,1.000,.000,0.0,4.4,2.2,24.8,5.7,0.0,25.0,6.7,0.0,0.0,0.1,.105,-2.9,4.7,1.8,0.0
Brad Wanamaker,PG,30,BOS,71,1369,12.8,.577,.282,.376,1.7,9.4,5.6,17.8,2.2,0.9,15.3,15.5,1.8,1.8,3.5,.124,-1.9,1.3,-0.6,0.5
T.J. Warren,SF,26,IND,67,2202,18.4,.610,.227,.205,3.4,10.5,7.0,7.1,1.7,1.4,7.2,23.3,4.0,2.6,6.5,.143,1.2,0.0,1.1,1.7
P.J. Washington,PF,21,CHO,58,1759,12.4,.547,.390,.231,3.5,16.6,9.8,11.3,1.5,2.3,12.5,18.6,0.5,1.5,2.0,.054,-1.7,0.1,-1.6,0.2
Yuta Watanabe,SG,25,MEM,18,105,11.2,.480,.235,.235,7.2,12.8,10.0,6.4,2.2,0.8,5.1,15.7,0.0,0.1,0.1,.065,-2.6,0.9,-1.8,0.0
Tremont Waters,PG,22,BOS,11,119,4.3,.381,.490,.163,0.0,10.7,5.4,18.3,4.1,1.6,22.2,24.2,-0.5,0.2,-0.3,-0.103,-8.5,1.0,-7.5,-0.2
Paul Watson,SF-SG,25,TOT,10,87,12.6,.517,.462,.346,2.5,17.9,10.3,12.4,2.2,1.1,9.1,16.1,0.0,0.1,0.2,.097,-1.2,0.9,-0.4,0.0
Paul Watson,SG,25,ATL,2,17,-7.1,.000,.429,.000,0.0,12.8,6.3,21.1,2.7,0.0,0.0,17.1,-0.1,0.0,-0.1,-0.320,-12.3,-1.5,-13.9,-0.1
Paul Watson,SF,25,TOR,8,70,17.3,.675,.474,.474,3.1,19.2,11.3,10.3,2.0,1.4,11.6,15.9,0.2,0.1,0.3,.198,1.4,1.4,2.9,0.1
Quinndary Weatherspoon,SG,23,SAS,11,78,3.2,.336,.294,.118,1.4,8.3,4.8,17.5,1.8,1.1,21.9,12.7,-0.2,0.0,-0.1,-0.071,-6.4,-1.0,-7.4,-0.1
Russell Westbrook,PG,31,HOU,57,2049,21.0,.536,.166,.297,5.1,18.1,11.5,35.6,2.1,0.8,15.0,34.4,1.7,2.5,4.2,.098,1.6,-0.1,1.5,1.8
Coby White,SG,19,CHI,65,1674,11.9,.506,.475,.163,1.8,14.0,7.6,16.5,1.4,0.3,11.4,24.4,-0.5,1.4,0.9,.026,-1.2,-1.6,-2.8,-0.4
Derrick White,SG,25,SAS,68,1677,16.4,.593,.391,.382,2.3,12.1,7.2,20.0,1.3,3.1,12.1,18.9,3.1,1.1,4.2,.119,1.2,0.1,1.3,1.4
Hassan Whiteside,C,30,POR,67,2008,25.0,.644,.010,.340,13.6,33.3,23.6,5.9,0.6,8.4,12.9,19.6,5.6,3.0,8.5,.204,2.5,0.7,3.2,2.6
Andrew Wiggins,SF-SG,24,TOT,54,1858,16.4,.536,.342,.274,3.6,12.3,7.8,18.1,1.1,2.4,10.7,27.4,0.8,1.1,1.9,.050,1.1,-1.4,-0.3,0.8
Andrew Wiggins,SF,24,MIN,42,1455,16.1,.535,.348,.262,3.4,12.9,7.9,18.1,0.9,2.1,10.8,28.0,0.6,0.8,1.4,.046,1.1,-1.5,-0.4,0.6
Andrew Wiggins,SG,24,GSW,12,403,17.5,.542,.314,.324,4.7,10.3,7.4,18.2,1.9,3.8,10.4,25.4,0.2,0.3,0.5,.064,0.9,-1.1,-0.2,0.2
Grant Williams,PF,21,BOS,69,1043,7.9,.505,.455,.256,6.1,12.1,9.1,8.5,1.4,3.2,17.6,11.6,0.1,1.4,1.6,.071,-4.1,1.4,-2.7,-0.2
Johnathan Williams,C,24,WAS,15,180,14.0,.566,.059,.382,14.0,25.3,19.4,5.9,0.3,3.9,11.2,10.3,0.3,0.1,0.4,.109,-0.8,-1.4,-2.2,0.0
Kenrich Williams,PF,25,NOP,39,832,7.5,.429,.660,.177,6.5,17.3,11.9,8.4,1.5,2.1,12.2,8.9,0.1,0.8,0.9,.050,-3.4,0.9,-2.4,-0.1
Lou Williams,SG,33,LAC,65,1864,17.3,.546,.337,.362,1.8,9.2,5.6,30.1,1.1,0.6,14.4,28.4,2.3,1.8,4.1,.105,2.2,-1.4,0.8,1.3
Marvin Williams,PF,33,TOT,58,1129,11.2,.587,.584,.213,2.8,14.3,8.5,7.6,1.6,2.4,10.2,12.5,1.1,1.3,2.4,.102,-1.6,1.0,-0.6,0.4
Marvin Williams,PF,33,CHO,41,808,11.8,.593,.557,.238,2.0,13.2,7.4,7.8,1.6,2.5,9.7,14.0,0.8,0.6,1.5,.087,-1.6,0.4,-1.3,0.1
Marvin Williams,PF,33,MIL,17,321,9.8,.566,.684,.123,4.9,17.1,11.4,7.2,1.4,2.2,11.8,8.7,0.3,0.6,0.9,.139,-1.6,2.5,0.9,0.2
Robert Williams,C,22,BOS,29,388,23.1,.728,.000,.386,11.2,24.0,17.7,10.1,2.7,8.4,16.9,13.6,1.1,1.0,2.0,.253,0.8,4.3,5.1,0.7
Nigel Williams-Goss,PG,25,UTA,10,50,8.1,.415,.438,.125,4.6,8.5,6.6,16.4,2.9,1.7,15.1,17.4,-0.1,0.1,0.0,.017,-5.2,1.3,-3.9,0.0
Zion Williamson,PF,19,NOP,24,668,24.1,.616,.039,.494,10.1,13.7,11.9,13.3,1.1,1.1,11.9,30.5,1.5,0.4,2.0,.141,3.5,-1.4,2.1,0.7
D.J. Wilson,PF,23,MIL,37,363,8.2,.475,.553,.136,3.5,20.5,12.5,9.1,0.4,1.2,12.0,18.1,-0.3,0.6,0.3,.046,-4.1,0.1,-4.0,-0.2
Justise Winslow,SF,23,MIA,11,352,8.5,.440,.209,.209,5.3,17.5,11.6,18.7,1.0,1.4,14.6,20.6,-0.4,0.4,0.0,-0.004,-3.5,0.0,-3.5,-0.1
Christian Wood,PF,24,DET,62,1325,23.2,.659,.276,.476,8.8,24.8,16.7,7.6,1.3,3.4,12.0,23.0,3.6,1.5,5.1,.183,3.5,-0.3,3.1,1.7
Delon Wright,SG,27,DAL,73,1570,15.4,.554,.309,.243,4.7,13.8,9.4,21.0,2.6,1.2,13.8,14.4,2.6,1.8,4.4,.134,0.0,1.8,1.9,1.5
Justin Wright-Foreman,PG,22,UTA,4,45,8.8,.437,.500,.200,0.0,11.8,6.1,23.0,2.2,0.0,12.1,24.1,-0.1,0.1,0.0,-0.008,-7.0,-2.0,-9.0,-0.1
Thaddeus Young,PF,31,CHI,64,1591,13.3,.521,.369,.120,6.2,16.1,10.9,11.3,2.8,1.4,13.9,19.7,-0.2,2.1,1.9,.058,-1.4,0.2,-1.2,0.3
Trae Young,PG,21,ATL,60,2120,23.9,.595,.455,.448,1.6,11.5,6.5,45.6,1.4,0.3,16.2,34.9,5.3,0.6,5.9,.133,6.2,-2.3,3.9,3.1
Cody Zeller,C,27,CHO,58,1341,18.8,.576,.157,.374,12.6,21.2,16.7,11.3,1.5,1.7,11.9,20.8,2.3,1.3,3.6,.129,0.2,-0.8,-0.6,0.5
Tyler Zeller,C,30,SAS,2,4,22.4,.250,.000,.000,80.9,26.9,53.9,0.0,0.0,0.0,0.0,43.2,0.0,0.0,0.0,-0.075,-0.3,-22.1,-22.4,0.0
Ante Å½iÅ¾iÄ‡,C,23,CLE,22,221,16.4,.597,.000,.264,9.0,24.4,16.6,4.2,1.5,1.9,11.1,17.5,0.3,0.2,0.5,.106,-1.7,-1.5,-3.2,-0.1
Ivica Zubac,C,22,LAC,72,1326,21.7,.651,.005,.431,15.9,26.4,21.3,9.1,0.6,4.4,11.8,16.4,4.4,2.3,6.6,.241,1.9,0.8,2.8,1.6